state,district,department,name,designation,email,source_url
KARNATAKA,MYSURU,Tahasildar Mysuru,,TAHASILDAR – PERIYAPATNA,thapri-rd-ka@nic.in,https://mysore.nic.in/en/directory/
KARNATAKA,MYSURU,Tahasildar Mysuru,,TAHASILDAR – H.D.KOTE,thahdk-rd-ka@nic.in,https://mysore.nic.in/en/directory/
KARNATAKA,MYSURU,Tahasildar Mysuru,,TAHASILDAR – HUNSUR,thahun-rd-ka@nic.in,https://mysore.nic.in/en/directory/
KARNATAKA,MYSURU,Tahasildar Mysuru,,TAHASILDAR – K.R.NAGARA,thakrn-rd-ka@nic.in,https://mysore.nic.in/en/directory/
KARNATAKA,MYSURU,Tahasildar Mysuru,,TAHASILDAR – T.NARASIPURA,thatna-rd-ka@nic.in,https://mysore.nic.in/en/directory/
KARNATAKA,MYSURU,Tahasildar Mysuru,,TAHASILDAR – NANJANGUD,thanan-rd-ka@nic.in,https://mysore.nic.in/en/directory/
KARNATAKA,MYSURU,Tahasildar Mysuru,,TAHASILDAR – MYSURU,thamys-rd-ka@nic.in,https://mysore.nic.in/en/directory/
KARNATAKA,MYSURU,Zilla Panchayath Mysuru,,Chief Executive Officer,ceo_zp_mys@nic.in,https://mysore.nic.in/en/directory/
KARNATAKA,MYSURU,Zilla Panchayath Mysuru,,"Deputy Secretary-1, Zilla Panchayath Mysuru",,https://mysore.nic.in/en/directory/
KARNATAKA,MYSURU,Zilla Panchayath Mysuru,,"Deputy Secretary-2, Zilla Panchayath Mysuru",,https://mysore.nic.in/en/directory/
KARNATAKA,MYSURU,Zilla Panchayath Mysuru,,"Project Director, D.R.D.A. Zilla Panchayath Mysuru",,https://mysore.nic.in/en/directory/
KARNATAKA,MYSURU,Zilla Panchayath Mysuru,,"Chief Accounts Officer, Zilla Panchayath Mysuru",,https://mysore.nic.in/en/directory/
KARNATAKA,MYSURU,Zilla Panchayath Mysuru,,"Chief Planning Officer, Zilla Panchayath Mysuru",,https://mysore.nic.in/en/directory/
KARNATAKA,MYSURU,Zilla Panchayath Mysuru,,"Education Officer, Zilla Panchayath Mysuru",,https://mysore.nic.in/en/directory/
KARNATAKA,MYSURU,Zilla Panchayath Mysuru,,"Asst. Secretary, Zilla Panchayath Mysuru",,https://mysore.nic.in/en/directory/
KARNATAKA,BELAGAVI,Sample Department,DC Belagavi,Deputy Commissioner,deo.belagavi@gmail.com,https://belagavi.nic.in/en/contact-directory/
KARNATAKA,TUMAKURU,,Smt. Subha Kalyan.I.A.S,Deputy Commissioner & District Magistrate,dctumkur-ka@nic.in,https://tumkur.nic.in/en/directory/
KARNATAKA,TUMAKURU,,Dr. N Thippeswamy. K.A.S,Additional Deputy Commissioner & Additional District Magistrate,adc.tumkur@gmail.com,https://tumkur.nic.in/en/directory/
KARNATAKA,TUMAKURU,,Prabhu G. I.A.S,Chief Executive Officer,ceo-tumakuru@gov.in,https://tumkur.nic.in/en/directory/
KARNATAKA,TUMAKURU,,Ashok K V. I.P.S,Superintendent of Police,sptkr@ksp.gov.in,https://tumkur.nic.in/en/directory/
KARNATAKA,DAKSHINA KANNADA,District Administration-Revenue,,Deputy Commissioner,dc.mnglr@gmail.com,https://dk.nic.in/en/directory/
KARNATAKA,DAKSHINA KANNADA,District Administration-Revenue,,Additional Deputy Commissioner,dc.mnglr@gmail.com,https://dk.nic.in/en/directory/
KARNATAKA,DAKSHINA KANNADA,District Administration-Revenue,,"Project Director, DUDC",,https://dk.nic.in/en/directory/
KARNATAKA,DAKSHINA KANNADA,District Administration-Revenue,,Joint Director Food & Civil Supplies,,https://dk.nic.in/en/directory/
KARNATAKA,DAKSHINA KANNADA,District Administration-Revenue,,Deputy Director Land Records,,https://dk.nic.in/en/directory/
BIHAR,PATNA,,,Divisional Commissioner Patna,patcom-bih@nic.in,https://patna.nic.in/district-administration/
BIHAR,PATNA,,,"District Magistrate, Patna",dm-patna.bih@nic.in,https://patna.nic.in/district-administration/
BIHAR,PATNA,,,Deputy Development Commissioner (DDC),ddc-patna-bih@nic.in,https://patna.nic.in/district-administration/
BIHAR,PATNA,,,"ADM, Law & Order",dcrpatna1@gmail.com,https://patna.nic.in/district-administration/
BIHAR,PATNA,,,"ADM, Revenue",acpatna1@gmail.com,https://patna.nic.in/district-administration/
BIHAR,PATNA,,,"ADM, Supply",admsupplypatna@gmail.com,https://patna.nic.in/district-administration/
BIHAR,PATNA,,,"Director, DRDA",,https://patna.nic.in/district-administration/
BIHAR,PATNA,,,District Land Acquisition Officer,,https://patna.nic.in/district-administration/
BIHAR,PATNA,,,City Magistrate,dcrpatna1@gmail.com,https://patna.nic.in/district-administration/
BIHAR,PATNA,,,Civil Surgeon,,https://patna.nic.in/district-administration/
BIHAR,PATNA,,,District Education Officer,,https://patna.nic.in/district-administration/
BIHAR,PATNA,,,Protocol Officer,protocolofficerpat@gmail.com,https://patna.nic.in/district-administration/
BIHAR,PATNA,,,Deputy Election Officer,dyeo_patna@yahoo.co.in,https://patna.nic.in/district-administration/
BIHAR,PATNA,,,"Treasury Officer, Sichai Bhawan",,https://patna.nic.in/district-administration/
BIHAR,PATNA,,,"Treasury Officer, Vikash Bhawan",,https://patna.nic.in/district-administration/
BIHAR,PATNA,,,"Treasury Officer, Vishweshraya Bhawan",,https://patna.nic.in/district-administration/
BIHAR,PATNA,,,"Treasury Officer, Patna Collectariat",,https://patna.nic.in/district-administration/
BIHAR,PATNA,,,"ATO, Patna City",,https://patna.nic.in/district-administration/
BIHAR,PATNA,,,"ATO, Danapur",,https://patna.nic.in/district-administration/
BIHAR,PATNA,,,"ATO, Barh",,https://patna.nic.in/district-administration/
BIHAR,PATNA,,,"ATO, Masaurhi",,https://patna.nic.in/district-administration/
BIHAR,PATNA,,,"ATO, Mokama",,https://patna.nic.in/district-administration/
GUJARAT,AHMEDABAD,Revenue Department,Sh. Bhavya Verma (IAS),DM & Collector,collector-ahd@gujarat.gov.in,https://ahmedabad.nic.in/en/directory/
TAMIL NADU,CHENNAI,,Tondiarpet Taluk,,tondiarpettaluk81@gmail.com,https://chennai.nic.in/en/contact-directory/
TAMIL NADU,CHENNAI,,Purasaiwalkam Taluk,,forttaluk@gmail.com,https://chennai.nic.in/en/contact-directory/
TAMIL NADU,CHENNAI,,Perambur Taluk,,pptaluk11@gmail.com,https://chennai.nic.in/en/contact-directory/
TAMIL NADU,CHENNAI,,Ayanavaram Taluk,,ayanavaramtaluk@gmail.com,https://chennai.nic.in/en/contact-directory/
TAMIL NADU,CHENNAI,,Egmore Taluk,,taluken@nic.in,https://chennai.nic.in/en/contact-directory/
TAMIL NADU,CHENNAI,,Aminjikarai Taluk,,tahramk.tnchn@nic.in,https://chennai.nic.in/en/contact-directory/
TAMIL NADU,CHENNAI,,Mylapore Taluk,,talukmt@gmail.com,https://chennai.nic.in/en/contact-directory/
TAMIL NADU,CHENNAI,,Velachery Taluk,,velacherytaluk@gmail.com,https://chennai.nic.in/en/contact-directory/
TAMIL NADU,CHENNAI,,Mambalam Taluk,,talukmg@nic.in,https://chennai.nic.in/en/contact-directory/
TAMIL NADU,CHENNAI,,Guindy Taluk,,tahrguindy.tnchn@nic.in,https://chennai.nic.in/en/contact-directory/
UTTAR PRADESH,LUCKNOW,,ADM E,ADM E,adme.lu-up@gov.in,https://lucknow.nic.in/en/directory/
UTTAR PRADESH,LUCKNOW,,DM Lucknow,District Magistrate,dmluc@nic.in,https://lucknow.nic.in/en/directory/
MADHYA PRADESH,BHOPAL,,Shri Priyank Mishra (IAS),Collector and District Magistrate,dmbhopal@nic.in,https://bhopal.nic.in/en/about-district/whos-who/
MADHYA PRADESH,BHOPAL,,Shri Sumit Pandey,ADM (South),,https://bhopal.nic.in/en/about-district/whos-who/
MADHYA PRADESH,BHOPAL,,Shri P C Shakya,ADM (HQ)-1,,https://bhopal.nic.in/en/about-district/whos-who/
MADHYA PRADESH,BHOPAL,,Shri Mahendra Singh Kawache,ADM (HQ)-2,,https://bhopal.nic.in/en/about-district/whos-who/
MADHYA PRADESH,BHOPAL,,Shri Prakash Chandra Pandey,SDM,,https://bhopal.nic.in/en/about-district/whos-who/
MADHYA PRADESH,BHOPAL,,Shri N S Parmar,Tehsildar,,https://bhopal.nic.in/en/about-district/whos-who/
MADHYA PRADESH,BHOPAL,,Shri Anurag Tripathi,Tehsildar,,https://bhopal.nic.in/en/about-district/whos-who/
MADHYA PRADESH,BHOPAL,,Shri Mathura Lal Ahirwar,District Informatics officer Bhopal,mpbho@nic.in,https://bhopal.nic.in/en/about-district/whos-who/
MADHYA PRADESH,BHOPAL,,Shri Badri Prasad Khelwal,Additional District Informatics Officer (ADIO),mpbho@nic.in,https://bhopal.nic.in/en/about-district/whos-who/
MADHYA PRADESH,BHOPAL,,Mr. Deepak Pandey,SDM,,https://bhopal.nic.in/en/about-district/whos-who/
MADHYA PRADESH,BHOPAL,,Mrs. Karuna Dandotiya,Tehsildar,,https://bhopal.nic.in/en/about-district/whos-who/
MADHYA PRADESH,BHOPAL,,Mr. Saurabh Verma,Tehsildar,,https://bhopal.nic.in/en/about-district/whos-who/
MADHYA PRADESH,BHOPAL,,Ms Shivangi Baghel,SDM,,https://bhopal.nic.in/en/about-district/whos-who/
MADHYA PRADESH,BHOPAL,,Shri Aditya Janghela,Tehsildar,,https://bhopal.nic.in/en/about-district/whos-who/
MADHYA PRADESH,BHOPAL,,Dr. Archana Rawat Sharma,SDM,,https://bhopal.nic.in/en/about-district/whos-who/
MADHYA PRADESH,BHOPAL,,Smt Karuna Dandotiya,Tehsildar,,https://bhopal.nic.in/en/about-district/whos-who/
MADHYA PRADESH,BHOPAL,,Shri Deepak Dwivedi,Tehsildar,,https://bhopal.nic.in/en/about-district/whos-who/
MADHYA PRADESH,BHOPAL,,Mrs. Ila Tiwari,CEO ZP,,https://bhopal.nic.in/en/about-district/whos-who/
MAHARASHTRA,PUNE,,Shri. Jitendra Dudi,"District Collector, Pune",collector.pune@maharashtra.gov.in,https://pune.gov.in/en/about-district/whos-who/
MAHARASHTRA,PUNE,,Shri. Satish Raut,"Additional Collector , Pune",addlcollr.pune-mh@gov.in,https://pune.gov.in/en/about-district/whos-who/
MAHARASHTRA,PUNE,,Smt. Jyoti Kadam,"RDC , Resident Deputy Collector",rdc.pune-mh@gov.in,https://pune.gov.in/en/about-district/whos-who/
MAHARASHTRA,PUNE,,Shri. Namdev Tilekar,"LRDC , Tenancy Branch",lrdc.pune-mh@gov.in,https://pune.gov.in/en/about-district/whos-who/
MAHARASHTRA,PUNE,,Shri. Mahesh Sudhalkar,"DSO , District Supply Office",dso.pune-mh@gov.in,https://pune.gov.in/en/about-district/whos-who/
MAHARASHTRA,PUNE,,Shri. Prashant Khatal,"FDO , Foodgrain Distribution Office",fdo.pune-mh@gov.in,https://pune.gov.in/en/about-district/whos-who/
MAHARASHTRA,PUNE,,Shri. Swapnil More,"DRO , District Rehabilitation Office",dro.pune-mh@gov.in,https://pune.gov.in/en/about-district/whos-who/
MAHARASHTRA,PUNE,,Smt. Minal Kalaskar,"Dy. DEO , Election Branch",dydeo.pune-mh@gov.in,https://pune.gov.in/en/about-district/whos-who/
MAHARASHTRA,PUNE,,Shri. Kiran Indalkar,"DPO , District Planning Office",dpo.pune-mh@gov.in,https://pune.gov.in/en/about-district/whos-who/
MAHARASHTRA,PUNE,,Shri. Vitthal Banote,District Disaster Management Officer,,https://pune.gov.in/en/about-district/whos-who/
MAHARASHTRA,PUNE,,Mrs. Varsha Landge,SDO Purandar,,https://pune.gov.in/en/about-district/whos-who/
MAHARASHTRA,PUNE,,Shri. Yashwant Mane,SDO Haveli,sdohaveli-mh@gov.in,https://pune.gov.in/en/about-district/whos-who/
MAHARASHTRA,PUNE,,Shri. Vitthal Joshi,"SDO Pune City, Shirur",sdopune-mh@gov.in,https://pune.gov.in/en/about-district/whos-who/
MAHARASHTRA,PUNE,,Shri. Surendra Navale,"SDO Maval, Mulshi",sdomaval-mh@gov.in,https://pune.gov.in/en/about-district/whos-who/
MAHARASHTRA,PUNE,,Shri. Vikas Kharat,"SDO Bhor, Velha",sdobhor-mh@gov.in,https://pune.gov.in/en/about-district/whos-who/
MAHARASHTRA,PUNE,,Shri. Revannath Labde,SDO Daund,sdodhound-mh@gov.in,https://pune.gov.in/en/about-district/whos-who/
MAHARASHTRA,PUNE,,Vacant,"SDO Junnar, Ambegaon",sdojunnar-mh@gov.in,https://pune.gov.in/en/about-district/whos-who/
MAHARASHTRA,PUNE,,Shri. Anil Daude,"SDO, Khed",sdokhed-mh@gov.in,https://pune.gov.in/en/about-district/whos-who/
MAHARASHTRA,PUNE,,Shri. Uttam Dighe,"SDO Baramati, Indapur",sdobaramati-mh@gov.in,https://pune.gov.in/en/about-district/whos-who/
MAHARASHTRA,PUNE,,Shri. Kalyan Pandhare,"Deputy Collector , Land Aquisition Office No. 1",slo1.pune-mh@gov.in,https://pune.gov.in/en/about-district/whos-who/
MAHARASHTRA,PUNE,,Smt. Sangita Rajapurkar,"Deputy Collector , Land Aquisition Office No. 3",slo3.pune-mh@gov.in,https://pune.gov.in/en/about-district/whos-who/
MAHARASHTRA,PUNE,,Smt. Pallavi Ghadge Solanke,"Deputy Collector , Land Aquisition Office No. 4",slo4.pune-mh@gov.in,https://pune.gov.in/en/about-district/whos-who/
MAHARASHTRA,PUNE,,Smt. Vanashri Labhshetwar,"Deputy Collector , Land Aquisition Office No. 6",slo6.pune-mh@gov.in,https://pune.gov.in/en/about-district/whos-who/
MAHARASHTRA,PUNE,,Smt. Surekha Mane,"Deputy Collector , Land Aquisition Office No. 11",slo11.pune-mh@gov.in,https://pune.gov.in/en/about-district/whos-who/
MAHARASHTRA,PUNE,,Smt. Archana Jadhav-Tambe,"Deputy Collector , Land Aquisition Office No. 13",slo13.pune-mh@gov.in,https://pune.gov.in/en/about-district/whos-who/
MAHARASHTRA,PUNE,,Shri. Vijay Phulpagare,"Deputy Collector , Land Aquisition Office No. 14",slo14.pune-mh@gov.in,https://pune.gov.in/en/about-district/whos-who/
MAHARASHTRA,PUNE,,Smt. Shweta Darunkar,"Deputy Collector, Land Aquisition Office No. 15",slo15.pune-mh@gov.in,https://pune.gov.in/en/about-district/whos-who/
MAHARASHTRA,PUNE,,Shri. Harshad Ghule,"Deputy Collector, Land Aquisition Office No. 16",slo16.pune-mh@gov.in,https://pune.gov.in/en/about-district/whos-who/
MAHARASHTRA,PUNE,,Smt. Amita Talekar,"Deputy Collector , Land Aquisition Office No. 17",slo17.pune-mh@gov.in,https://pune.gov.in/en/about-district/whos-who/
MAHARASHTRA,PUNE,,Smt. Trupti Kolte Patil,"Tahsildar, Appar Tahsil Office, Loni Kalbhor",,https://pune.gov.in/en/about-district/whos-who/
MAHARASHTRA,PUNE,,Smt. Smita Mane,Tahsildar Pune City,tahpune-mh@gov.in,https://pune.gov.in/en/about-district/whos-who/
MAHARASHTRA,PUNE,,Smt. Archana Nikam,Tahsildar Haveli,tahhaveli-mh@gov.in,https://pune.gov.in/en/about-district/whos-who/
MAHARASHTRA,PUNE,,Shri. Jayraj Deshmukh,"Tahsildar, Appar Tahsil Office, Pimpri-Chinchwad",tahpimpari-chinchwad-mh@gov.in,https://pune.gov.in/en/about-district/whos-who/
MAHARASHTRA,PUNE,,Shri. Vikram Deshmukh,Tahsildar Maval,tahmaval-mh@gov.in,https://pune.gov.in/en/about-district/whos-who/
MAHARASHTRA,PUNE,,Shri. Vijaykumar Chobe,Tahsildar Mulshi,tahmulshi-mh@gov.in,https://pune.gov.in/en/about-district/whos-who/
MAHARASHTRA,PUNE,,Shri. Balasaheb Mhaske,Tahsildar Shirur,tahshirur-mh@gov.in,https://pune.gov.in/en/about-district/whos-who/
MAHARASHTRA,PUNE,,Shri Rajendra Najan,Tahsildar Bhor,tahbhor-mh@gov.in,https://pune.gov.in/en/about-district/whos-who/
MAHARASHTRA,PUNE,,Shri. Vikram Rajput,Tahsildar Purandar,tahpurandar-mh@gov.in,https://pune.gov.in/en/about-district/whos-who/
MAHARASHTRA,PUNE,,Shri. Shreeniwas Dhane,Tahsildar Velha,tahvelha-mh@gov.in,https://pune.gov.in/en/about-district/whos-who/
