organisation,officer_name_designation,address,phone_fax_raw,email,source_url
Kerala,Sajid M Under Secretary,"Chief Minister s Computer Cell,  4th Floor,  North   Block, Government Secretariat, Thiruvananthapura m, Kerala",04712703002 priority.cmo[at]kerala.gov[dot]in,priority.cmo@kerala.gov.in,https://pmopg.gov.in/CitizenReforms/Home/NodalPgOfficersState
Madhya Pradesh,Sandeep Asthana Director CM Helpline,"CM Helpline Office, Bhopal, M.P.",07556680020 cmhelpline[at]mp.gov[dot]in,cmhelpline@mp.gov.in,https://pmopg.gov.in/CitizenReforms/Home/NodalPgOfficersState
Maharashtra,Mr.Hemant Anant Mahajan Deputy Secretary,"General Administration Department ,3rd Floor, Mantralaya Mail Building, Mantralaya, Mumbai",02222025101 hemant.mahajan[at]nic[dot]in,hemant.mahajan@nic.in,https://pmopg.gov.in/CitizenReforms/Home/NodalPgOfficersState
Manipur,K.H. Leiyaphy Rita Joint Secretary AR,"Old Sectt., North Block, Imphal",119402882539 leiyaphi.kh[at]gov[dot]in,leiyaphi.kh@gov.in,https://pmopg.gov.in/CitizenReforms/Home/NodalPgOfficersState
Meghalaya,Shri Cyril Diengdoh IAS Commissioner and Secretary Personnel and A.R.,"Meghalaya Civil Sectt, Room 403, Additional Building, Shillong, Meghalaya",03642500165 cyril.diengdoh[at]gov[dot]in,cyril.diengdoh@gov.in,https://pmopg.gov.in/CitizenReforms/Home/NodalPgOfficersState
Mizoram,Isaac C. Lalrempuia Nodal Officer Deptt. of Personnel and Administrative Reforms Good Governance Cell,"Mizoram Secretariat, MINECO, Aizawl",03892335713 ggcmiz[at]gmail[dot]com,ggcmiz@gmail.com,https://pmopg.gov.in/CitizenReforms/Home/NodalPgOfficersState
Nagaland,Shri Vechovo Tetseo Senior Research Officer  and State Nodal Officer,"Nagaland Civil Secretariat, Kohima Kohima",03700000000 vechovo.tetseo[at]nic[dot]in,vechovo.tetseo@nic.in,https://pmopg.gov.in/CitizenReforms/Home/NodalPgOfficersState
NCT of Delhi,Sh. Upender Section Officer,Public Grievances CommissionM Block Vikas Bhawan I P EstateNew Delhi,01123379900 paditi[at]gmail[dot]com,paditi@gmail.com,https://pmopg.gov.in/CitizenReforms/Home/NodalPgOfficersState
Odisha,Deputy Secretary Deputy Secretary to Government,"General Administration and Public Grievance Deptt., Odisha Sectt., Bhubaneshwar",06742395760 gapgpublicgrievance[at]gmail[dot]com,gapgpublicgrievance@gmail.com,https://pmopg.gov.in/CitizenReforms/Home/NodalPgOfficersState
Punjab,IAS Additional Chief Secretary,Removal Of Grievances Punjab Civil Sectt-1,01722740611 grievanceredressal2[at]gmail[dot]com,grievanceredressal2@gmail.com,https://pmopg.gov.in/CitizenReforms/Home/NodalPgOfficersState
Rajasthan,Mr Jagdish Lal Meena Deputy Secretary,"Room No. 8129, 1st  floor, North Western Building, Secretariat Jaipur",01412922825 DS.RPG[at]RAJASTHAN.GOV[dot]IN,DS.RPG@RAJASTHAN.GOV.IN,https://pmopg.gov.in/CitizenReforms/Home/NodalPgOfficersState
Sikkim,Shri. Santosh Pradhan Joint Secretary,"Department of Personnel, Tashiling, Secretariat",035922000000 gos.dopart[at]gmail[dot]com,gos.dopart@gmail.com,https://pmopg.gov.in/CitizenReforms/Home/NodalPgOfficersState
Tamil Nadu,T. Jeya Sheela B.E MBA Special Officer,"Chief Ministers Special Cell, Fort St. George, Secretariat Chennai",04425671012 cmcell[at]tn.gov[dot]in,cmcell@tn.gov.in,https://pmopg.gov.in/CitizenReforms/Home/NodalPgOfficersState
Telangana,J.ARUN KUMAR Additional Secretary to GAD,Dr. B.R. Ambedkar Telangana Secretariat,04023452888 dysecy-pgr-gad[at]telangana.gov[dot]in,dysecy-pgr-gad@telangana.gov.in,https://pmopg.gov.in/CitizenReforms/Home/NodalPgOfficersState
Tripura,Smt. Debjani Deb TCS Gr-I Joint Secretary to the Govt. of Tripura,"GAAR Department, Secretariat, New Capital Complex, Kunjaban, Agartala.",03812416040 gaar.agt-tr[at]nic[dot]in,gaar.agt-tr@nic.in,https://pmopg.gov.in/CitizenReforms/Home/NodalPgOfficersState
Union Territory of Andaman & Nicobar,Smti. B Ganga Ratnam Assistant Secretary of A.R. Wing and Public Grievances,"Public Grievance Cell A and N Administration, Secretariat, Sri Vijaya Puram",03192232803 asar-trg[at]and.nic[dot]in,asar-trg@and.nic.in,https://pmopg.gov.in/CitizenReforms/Home/NodalPgOfficersState
Union Territory of Chandigarh,Amit Kumar DANICS Additional Secretary Home,"Union Territory Secretariat, Deluxe Building, Sector-9 Chandigarh",01722994524 ashome-chd[at]chd.gov[dot]in,ashome-chd@chd.gov.in,https://pmopg.gov.in/CitizenReforms/Home/NodalPgOfficersState
Union Territory of Dadra & Nagar Haveli,Dr. Sunabh Singh Deputy Director-cum-Deputy Secretary,"Department of Public Grievances, Secretariat, Vidyut Bhawan, Kachigam, Nani Daman",02602230460 dshome-dd[at]ddd.gov[dot]in,dshome-dd@ddd.gov.in,https://pmopg.gov.in/CitizenReforms/Home/NodalPgOfficersState
Union Territory of Daman & Diu,Dr. Sunabh Singh Deputy Director-cum-Deputy Secretary,"Department of Public Grievances, Secretariat, Vidyut Bhawan, Kachigam, Nani Daman",02602230460 dshome-dd[at]ddd.gov[dot]in,dshome-dd@ddd.gov.in,https://pmopg.gov.in/CitizenReforms/Home/NodalPgOfficersState
Union Territory of Jammu and Kashmir,Azeeta Qureshi Under Secretary,"H 8 Church Lane, Sonwar Srinagar",01942483236 qureshi.azee[at]jk.gov[dot]in,qureshi.azee@jk.gov.in,https://pmopg.gov.in/CitizenReforms/Home/NodalPgOfficersState
Union Territory of Ladakh,Dorjay Gailson JKAS Nodal Officer for CPGRMS,UT Secretariat Ladakh,01982257561 gad.utladakh[at]ladakh.gov[dot]in,gad.utladakh@ladakh.gov.in,https://pmopg.gov.in/CitizenReforms/Home/NodalPgOfficersState
Union Territory of Lakshadweep,Mukund Vallabh Joshi DANICS Director,"Department of Planning, Statistics and TaxationSecretariat, UT of Lakshadweep,Kavaratti, Island",04896262274 lak-adps[at]nic[dot]in,lak-adps@nic.in,https://pmopg.gov.in/CitizenReforms/Home/NodalPgOfficersState
Union Territory of Puducherry,Sivakumar S Under Secretary ARW,"AR Wing,B Block, 2nd Floor, Chief Sectt., Goubert Avenue, Beach Road,Puducherry",04132233361 usar[at]py.gov[dot]in,usar@py.gov.in,https://pmopg.gov.in/CitizenReforms/Home/NodalPgOfficersState
Uttar Pradesh,Shri Bhaskar Chandra Kandpal Joint Secretary,"Chief Minister Secretariat , Room No. 321, U.P. Secretariat, Lucknow",05222226350 bhaskar.31532[at]gov[dot]in,bhaskar.31532@gov.in,https://pmopg.gov.in/CitizenReforms/Home/NodalPgOfficersState
Uttarakhand,Tirath Pal Singh Additional Director,"IT Park, Dehradun",01352609532 cm_helpline[at]uk.gov[dot]in,cm_helpline@uk.gov.in,https://pmopg.gov.in/CitizenReforms/Home/NodalPgOfficersState
West Bengal,Shri Ajay Kumar Pal Special Secreta,"Nabanna (7th Floor), 325, Sarat Chatterjee Road, Shibpur, Howrah - 711102",03322143655 jointsecretarypar[at]gmail[dot]com,jointsecretarypar@gmail.com,https://pmopg.gov.in/CitizenReforms/Home/NodalPgOfficersState
