organisation,officer_name_designation,address,phone_fax_raw,email,source_url
Department of Health Research,Shri Dhananjay Prasad Singh Deputy Secretary,"Department of Health Research, Room No. 225, Indian Red Cross Society Building, 1, Red Cross Road, NEW DELHI",01123736218 dpsingh[at]gov[dot]in,dpsingh@gov.in,https://pgportal.gov.in/Home/NodalAuthorityForAppeal
Department of Higher Education,Sh. Ashish V Gawai Joint Secretary,"Room no. 22032, Kartavaya Bhawan- 2, M/o Education, D/o Higher Education,New Delhi",01124015032 js.pmusha[at]nic[dot]in,js.pmusha@nic.in,https://pgportal.gov.in/Home/NodalAuthorityForAppeal
Department of Investment & Public Asset Management,Smt. Param Sen Additional Secretary,"DIPAM Room No.423 , 4th Floor Block No. 14 CGO Complex, Lodhi Road New Delhi",01124368037 sen.parama68[at]gov[dot]in,sen.parama68@gov.in,https://pgportal.gov.in/Home/NodalAuthorityForAppeal
Department of Justice,Suresh Kumar Joint Secretary,"26, MAN SINGH ROAD, NEW DELHI",01123072142 jsnm-jr-doj[at]gov[dot]in,jsnm-jr-doj@gov.in,https://pgportal.gov.in/Home/NodalAuthorityForAppeal
Department of Land Resources,Shri P K Abdul Kareem Economic Adviser,"Department of Land Resources,  Room No. 12, Ground Floor, NBO Building, Nirman Bhawan,  New Delhi",01123062454 pka.kareem[at]nic[dot]in,pka.kareem@nic.in,https://pgportal.gov.in/Home/NodalAuthorityForAppeal
Department of Military Affairs,Mr. Anil Kumar Chhapolia Joint Secretary - Estt and Coord,"Department of  Military Affairs, Room No.97, South Block,  New Delhi",01123011410 jsg[at]nic[dot]in,jsg@nic.in,https://pgportal.gov.in/Home/NodalAuthorityForAppeal
Department of Official Language,Dr. Nidhi Pandey Joint Secretary,"NDCC-II Building, 4th Floor, Jai Singh Road, New Delhi",01123438130 jsol[at]mha.gov[dot]in,jsol@mha.gov.in,https://pgportal.gov.in/Home/NodalAuthorityForAppeal
Department of Pension and Pensioners Welfare,Dr. Pramod Kumar Director,DoPPW,01124654734 pramod.kumar79[at]gov[dot]in,pramod.kumar79@gov.in,https://pgportal.gov.in/Home/NodalAuthorityForAppeal
Department of Personnel and Training,Shri S D Sharma Joint Secretary,"Room No. 31035, Kartavya Bhavan-03, New Delhi",01124010567 js.admn-dopt[at]gov[dot]in,js.admn-dopt@gov.in,https://pgportal.gov.in/Home/NodalAuthorityForAppeal
Department of Pharmaceuticals,Sh. Aman Sharma Joint Secretary,"348, A Wing Shastri Bhawan New Delhi-110001",01123074010 head-coordination[at]pharma-dept.gov[dot]in,head-coordination@pharma-dept.gov.in,https://pgportal.gov.in/Home/NodalAuthorityForAppeal
Department of Posts,Ms. Mrinalini Srivastava DDG PG QA and I,Dak Bhawan,01123096088 ddgpgq[at]indiapost.gov[dot]in,ddgpgq@indiapost.gov.in,https://pgportal.gov.in/Home/NodalAuthorityForAppeal
Department of Revenue,Shri Balasubramanian Krishnamurthy Joint Secretary,"D/o Revenue, Room No. 46, North Block, New Delhi",01123095358 jsrev[at]gov[dot]in,jsrev@gov.in,https://pgportal.gov.in/Home/NodalAuthorityForAppeal
Department of Rural Development,Ms. Kalyani Mishra Economic Advisor,"Ministry of Rural Development, DoRD India Habitat Centre, New Delhi",01123386173 eansap-mord[at]nic[dot]in,eansap-mord@nic.in,https://pgportal.gov.in/Home/NodalAuthorityForAppeal
Department of School Education and Literacy,DR. AMARPREET DUGGAL Joint Secretary  Coord,"Room No.107 A-D Wing, Shastri Bhawan, New Delhi",01123386232 jsad-moe[at]gov[dot]in,jsad-moe@gov.in,https://pgportal.gov.in/Home/NodalAuthorityForAppeal
Department of Science and Technology,A Dhanalakshmi Joint Secretary,"Department of Science and Technology, Technology Bhavan, New Mehrauli Road, New Delhi-110016",01126516077 a.dhanlakshmi[at]nic[dot]in,a.dhanlakshmi@nic.in,https://pgportal.gov.in/Home/NodalAuthorityForAppeal
Department of Scientific & Industrial Research,Shri Surinder Pal Singh Joint Secretary,"Room No. 517, 5th Floor, DST/DSIR Building, Technology Bhawan, Mehrauli Road, New Delhi",01126590257 surinder.singh66[at]gov[dot]in,surinder.singh66@gov.in,https://pgportal.gov.in/Home/NodalAuthorityForAppeal
Department of Social Justice and Empowerment,Shri Vinesh Pachnanda Deputy Secretary,"Pt. Deendayal Antyodaya Bhawan, CGO Complex, New Delhi.",01124369837 vinesh.pachnanda[at]nic[dot]in,vinesh.pachnanda@nic.in,https://pgportal.gov.in/Home/NodalAuthorityForAppeal
Department of Space,Swarnashree Rao Rajashekar Joint Secretary Personnel,Department of Space Antriksh Bhawan New B.E.L.Road  Bengaluru,08022175401 pgdos[at]isro.gov[dot]in,pgdos@isro.gov.in,https://pgportal.gov.in/Home/NodalAuthorityForAppeal
Department of Sports,Sh. Kunal JS JSSports Development,"D/o Sports Room No. 504-B,  Shastri  Bhawan, New Delhi",01123384152 js-develop-sports[at]gov[dot]in,js-develop-sports@gov.in,https://pgportal.gov.in/Home/NodalAuthorityForAppeal
Department of Telecommunications,Sh Jayant Kumar Sr Deputy Director General - Public Grievances,"Department of TelecommunicationsRoom No 612, Manager DoorsancharBhawan,Old Minto Road, New Delhi",01123221231 ddgpg-dot[at]nic[dot]in,ddgpg-dot@nic.in,https://pgportal.gov.in/Home/NodalAuthorityForAppeal
Department of Youth Affairs,Shiv Ratan Joint Secretary,"Ministry of Youth Affairs and Sports, Room No. 6204, Netaji Nagar, New Delhi",01124103299 js.dya[at]gov[dot]in,js.dya@gov.in,https://pgportal.gov.in/Home/NodalAuthorityForAppeal
Legislative Department,T S Muralidharan Joint Secretary & Legislative Counsel,"Room No. 24005, 4th Floor, Kartavya Bhavan 2, New Delhi",01124016064 muralidharan.ts[at]nic[dot]in,muralidharan.ts@nic.in,https://pgportal.gov.in/Home/NodalAuthorityForAppeal
Ministry of Ayush,Dr. M.A. Qasmi Adviser Unani,"Ministry of Ayush, AYUSH BHAWAN, B Block, GPO Complex, INA, New Delhi",01124651966 mukhtar.qasmi[at]gov[dot]in,mukhtar.qasmi@gov.in,https://pgportal.gov.in/Home/NodalAuthorityForAppeal
Ministry of Civil Aviation,Ms. Priyanka Das Joint Secretary,"M/o Civil Aviation, Room No.354, 3rd floor Floor, B-Block,Rajiv Gandhi Bhawan, Safdarjung Airport,New Delhi",01124616303 aapg-moca[at]gov[dot]in,aapg-moca@gov.in,https://pgportal.gov.in/Home/NodalAuthorityForAppeal
Ministry of Cooperation,Shri Pankaj Kumar Bansal Additional Secretary,Delhi,01120849005 bansalpk[at]ias.nic[dot]in,bansalpk@ias.nic.in,https://pgportal.gov.in/Home/NodalAuthorityForAppeal
Ministry of Corporate Affairs,Sh. Santosh Kumar Director Inspection and  Investigation,"Ministry of Corporate Affairs, Shastri Bhawan , New Delhi at -DGCoA Kota House , New Delhi",01123389602 santosh.kumar[at]mca.gov[dot]in,santosh.kumar@mca.gov.in,https://pgportal.gov.in/Home/NodalAuthorityForAppeal
Ministry of Culture,Gurmeet Singh Chawla Joint Secretary,ASI HQ,01123075342 gurmeet.chawla[at]gov[dot]in,gurmeet.chawla@gov.in,https://pgportal.gov.in/Home/NodalAuthorityForAppeal
Ministry of Development of North Eastern Region,Mr. Nilambuj Sharan Sr. Economic Adviser,"M/o Development of North East Region,
Vigyan Bhawan Annexe,
New Delhi",011-23022386 nilambuj.sharan[at]nic[dot]in,nilambuj.sharan@nic.in,https://pgportal.gov.in/Home/NodalAuthorityForAppeal
Ministry of Drinking Water and Sanitation,Shri Vikash Kumar Dubey Deputy Director General,"6th floor, Pt. Deendayal Antyodaya Bhawan, CGO Complex, Lodhi Road, New Delhi",01124369832 vikash.dubey[at]nic[dot]in,vikash.dubey@nic.in,https://pgportal.gov.in/Home/NodalAuthorityForAppeal
Ministry of Earth Sciences,Sreenivasa Rao Gangi Reddy Joint Secretary,"Ministry of Earth Science Room No.102, Prithvi Bhawan, Lodhi Road, New Delhi",01124629528 js[at]moes.gov[dot]in,js@moes.gov.in,https://pgportal.gov.in/Home/NodalAuthorityForAppeal
Ministry of Electronics & Information Technology,Sh. Sudeep Shrivastava Joint Secretary and GC,"6, CGO Complex, Electronics Niketan, New Delhi",01124301815 s.sudeep[at]gov[dot]in,s.sudeep@gov.in,https://pgportal.gov.in/Home/NodalAuthorityForAppeal
"Ministry of Environment, Forest and Climate Change",Shri Satyajit Mishra Joint Secretary,"1st Floor, Agni Wing, Indira Paryawaran Bhawan, Jor Bagh, New Delhi",01120819232 satyajit.mishra[at]nic[dot]in,satyajit.mishra@nic.in,https://pgportal.gov.in/Home/NodalAuthorityForAppeal
Ministry of External Affairs,Dr. Binoy George Joint Secretary CPV,"Ministry of External Affairs, CPV Division, Patiala House Annexe, TilakMarg, New Delhi",01123384529 jscpv[at]mea.gov[dot]in,jscpv@mea.gov.in,https://pgportal.gov.in/Home/NodalAuthorityForAppeal
Ministry of Food Processing Industries,Shri Ranjit Singh Joint Secretary,"Ministry of Food Processing Industries, Panchsheel Bhawan, August Kranti Marg, New Delhi",01126492176 singhranjit[at]cag.gov[dot]in,singhranjit@cag.gov.in,https://pgportal.gov.in/Home/NodalAuthorityForAppeal
Ministry of Heavy Industries,Dr Renuka Mishra Economic Adviser,"Department of Heavy Industries Room No. 123-B, Udyog Bhawan New Delhi",01123062714 ea.dhi[at]nic[dot]in,ea.dhi@nic.in,https://pgportal.gov.in/Home/NodalAuthorityForAppeal
Ministry of Home Affairs,ARVIND KHARE Jt. Secretary Co-ord,34089 4th Floor Kartavya Bhavan-3,01124010034 jscpg-mha[at]nic[dot]in,jscpg-mha@nic.in,https://pgportal.gov.in/Home/NodalAuthorityForAppeal
Ministry of Housing and Urban Affairs,Shri Dinesh Kapila EA,"Room No. 232-C,Nirman Bhawan, New Delh",01123062387 dinesh.kapila[at]nic[dot]in,dinesh.kapila@nic.in,https://pgportal.gov.in/Home/NodalAuthorityForAppeal
Ministry of Information and Broadcasting,Shri Rabindra Kumar Jena Senior Economic Adviser,"Room No. 657, A Wing, Shastri Bhawan, New Delhi",01123383857 rk.jena[at]gov[dot]in,rk.jena@gov.in,https://pgportal.gov.in/Home/NodalAuthorityForAppeal
Ministry of Labour and Employment,Shefali Dhingra Economic Advisor,"Ministry of Labour and Employment, Room No.312, Shram Shakti Bhawan, Rafi Marg,New Delhi",01123737510 ecoadvisor-mole[at]gov[dot]in,ecoadvisor-mole@gov.in,https://pgportal.gov.in/Home/NodalAuthorityForAppeal
Ministry of Micro Small and Medium  Enterprises,Sh. Ateesh Kumar Singh Joint Secretary,"Ministry of Micro Small and Medium Enterprises Room No. 49, Ground Floor Udyog Bhawan New Delhi",01123062081 js-msme[at]gov[dot]in,js-msme@gov.in,https://pgportal.gov.in/Home/NodalAuthorityForAppeal
Ministry of Mines,Smt Sushama Batra Deputy Secretary- PG&PI,"Zone 3, 4th Floor, GPOA-3 Building, Netaji Nagar, New Delhi",01123382159 sushma.batra[at]gov[dot]in,sushma.batra@gov.in,https://pgportal.gov.in/Home/NodalAuthorityForAppeal
Ministry of Minority Affairs,Shri Shyama Prasad Roy Joint Secretary,"Ministry of Minority Affairs , Pt Deen Dayal Antoydaya Bhawan, CGO Complex, Lodhi Road, New Delhi",01124364270 ddg-mma[at]gov[dot]in,ddg-mma@gov.in,https://pgportal.gov.in/Home/NodalAuthorityForAppeal
Ministry of New and Renewable Energy,Mini Prasannakumar DDG,"Room No. 615, AAUB, Opposite CGO Complex, Lodhi Road",01120849138 miniprasanna.k[at]nic[dot]in,miniprasanna.k@nic.in,https://pgportal.gov.in/Home/NodalAuthorityForAppeal
Ministry of Panchayati Raj,Shri Rajesh Kumar Singh Joint Secretary,"9th Floor, Jeevan Bharati Building, New Delhi",01123725305 mopr-js[at]gov[dot]in,mopr-js@gov.in,https://pgportal.gov.in/Home/NodalAuthorityForAppeal
Ministry of Parliamentary Affairs,Dr. Satya Prakash Additional Secretary,"R.No.87, Parliament House,New Delhi",01123034734 asmpa[at]gov[dot]in,asmpa@gov.in,https://pgportal.gov.in/Home/NodalAuthorityForAppeal
Ministry of Petroleum and Natural Gas,RTI  PG Section DS PG,"Shastri Bhawan,New Delhi",01122488624 pande.ravi04[at]nic[dot]in,pande.ravi04@nic.in,https://pgportal.gov.in/Home/NodalAuthorityForAppeal
Ministry of Power,Smt. Reetu Jain Economic Adviser,"Room No. 427, C-Wing, Ministry of Power, Shram Shakti Bhawan, Rafi Marg, New Delhi",01123715378 ea-mop[at]gov[dot]in,ea-mop@gov.in,https://pgportal.gov.in/Home/NodalAuthorityForAppeal
Ministry of Railways ( Railway Board),Shri Deepak Kumar Jha Additional Member Commercial,"Ministry of Railways , Rail Bhawan  New Delhi",01123382112 amc[at]rb.railnet.gov[dot]in,amc@rb.railnet.gov.in,https://pgportal.gov.in/Home/NodalAuthorityForAppeal
Ministry of Road Transport and Highways,Sh. Mohan Chandra Bhatt Deputy Secretary,"Room No. 232 , Transport Bhawan,Sansad Marg, New Delhi",01123314317 bhatt.mohan[at]nic[dot]in,bhatt.mohan@nic.in,https://pgportal.gov.in/Home/NodalAuthorityForAppeal
Ministry of Shipping,Sh. Sandeep Kumar Gupta Joint Secretary -Coordination,New Delhi,01123354007 jsadmin-psw[at]gov[dot]in,jsadmin-psw@gov.in,https://pgportal.gov.in/Home/NodalAuthorityForAppeal
Ministry of Skill Development and Entrepreneurship,Ms. Archana Mayaram Economic Advisor,"Ministry of Skill Development and Entrepreneurship Room No.311, Kaushal Bhawan, New Moti Bagh, New Delhi",01126773311 archana.mayaram[at]gov[dot]in,archana.mayaram@gov.in,https://pgportal.gov.in/Home/NodalAuthorityForAppeal
Ministry of Statistics and Programme Implementation,Sh. Aashish Kumar Gupta JOINT SECRETARY,"Ministry of Statistics and Programme Implementation, Room no. 309, Khurshid Lal Bhawan, Janpath, New Delhi",01123455325 akgupta2[at]ord.gov[dot]in,akgupta2@ord.gov.in,https://pgportal.gov.in/Home/NodalAuthorityForAppeal
Ministry of Steel,Shri Daya Nidhan Pandey Joint Secretary,"Ministry of Steel Udyog Bhawan, New Delhi",01123063170 dn.pandey74[at]ias.nic[dot]in,dn.pandey74@ias.nic.in,https://pgportal.gov.in/Home/NodalAuthorityForAppeal
Ministry of Textiles,Shri Akhilesh Kumar Deputy Director General,"Udyog Bhawan,  New Delhi",01123062109 akhilesh.kumar99[at]gov[dot]in,akhilesh.kumar99@gov.in,https://pgportal.gov.in/Home/NodalAuthorityForAppeal
Ministry of Tourism,Anubhav Saxena Deputy Secretary,"2nd Floor PTI Building, Sansad Marg, New Delhi, Delhi 110001",01123724166 anubhav.saxena35[at]gov[dot]in,anubhav.saxena35@gov.in,https://pgportal.gov.in/Home/NodalAuthorityForAppeal
Ministry of Tribal Affairs,Ms. Athira S. Babu Economic Advisor,"Ministry of Tribal Affair, Jeevan Tara Building, New Delhi",01123340005 athira.babu[at]gov[dot]in,athira.babu@gov.in,https://pgportal.gov.in/Home/NodalAuthorityForAppeal
"Ministry of Water Resources, River Development & Ganga Rejuvenation",Shri Karan Singh Joint Secretary A IC and GW,"Room No  403, Shram Shakti Bhawan,  New Delhi",01123714609 jsadmn-mowr[at]nic[dot]in,jsadmn-mowr@nic.in,https://pgportal.gov.in/Home/NodalAuthorityForAppeal
Ministry of Women and Child Development,Shri Valeti Premchand Additional Secretary,"Room No. 628 A, Shastri Bhawan , Ministry of Woman and Child Development New Delhi",01123380641 premchand.v[at]gov[dot]in,premchand.v@gov.in,https://pgportal.gov.in/Home/NodalAuthorityForAppeal
NITI Aayog,Shri K S Rejimon Joint Secretary,"RoomNo. 233   NITI Aayog, Sansad Marg, New Delhi",01123096545 ks.rejimon[at]nic[dot]in,ks.rejimon@nic.in,https://pgportal.gov.in/Home/NodalAuthorityForAppeal
O/o the Comptroller & Auditor General of India,SHRI SAURABH NARAIN Director General,"O/o the Comptroller And Auditor General of India, 9, Deen Dayal Upadhayaya Marg, New Delhi",01123236776 dgstaff[at]cag.gov[dot]in,dgstaff@cag.gov.in,https://pgportal.gov.in/Home/NodalAuthorityForAppeal
Securities and Exchange Board of India,Shri Krishnanand Raghavan Chief General Manager,"OIAE-IGRD, Securities and Exchange Board of India SEBI Bhavan, II BKC, Plot No. C-7, G Block, Bandra Kurla Complex, Bandra East, Mumbai,  Maharashtra",02226449632 krishnanandr[at]sebi.gov[dot]in,krishnanandr@sebi.gov.in,https://pgportal.gov.in/Home/NodalAuthorityForAppeal
Staff Selection Commission,Sh. RAJIV SRIVASTAVA Member,"Block No. 12, CGO Complex,  Lodhi Road, New Delhi",01124362242 member1[at]ssc.nic[dot]in,member1@ssc.nic.in,https://pgportal.gov.in/Home/NodalAuthorityForAppeal
Unique Identification Authority of India,Shri  Neeraj Kumar Director  CRM Division,"Unique Identification Authority of India, 6th Floor, UIDAI Headquarter Building, Bangla Sahib Road, Gole Market, New Delhi",01123478453 dir.crm-hq[at]uidai.net[dot]in,dir.crm-hq@uidai.net.in,https://pgportal.gov.in/Home/NodalAuthorityForAppeal
